n,Population Size,Crossover Type,Selection Type,Replacement Type,Mutation Rate,Number of Parents,Crossover Points,Success Rate
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,2,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
10,4,2,1,1,0.0,3,1,0.0
